species,date,plant,tissue type,HCN
P.ambigua,6/27/18,AMB SOR 170n,mature leaf,0.03115
P.ambigua,6/27/18,AMB SOR 170n,mature leaf,0.09042
P.ambigua,6/27/18,AMB SOR 575s,new leaf,0.86904
P.ambigua,6/27/18,AMB SOR 575s,mature leaf,0.84492
P.ambigua,6/27/18,AMB SOR 575s,mature leaf,0.4861
P.costaricensis,6/27/18,COS SP1w,mature leaf,2.59331
P.costaricensis,6/27/18,COS SP1w,mature leaf,7.27023
P.costaricensis,6/27/18,COS SP1w,mature leaf,10.53206
P.auriculata,6/27/18,AUR SP1w,mature leaf,0.03639
P.auriculata,6/27/18,AUR SP1w,mature leaf,0.0334
P.auriculata,6/27/18,AUR SP1w,mature leaf,0.03768
P.auriculata,6/27/18,AUR SP3w,mature leaf,0.01485
P.auriculata,6/27/18,AUR SP3w,mature leaf,0.0284
P.auriculata,6/27/18,AUR SP3w,mature leaf,0.14413
P.biflora,6/27/18,BI SP5s,mature leaf,0.04959
P.biflora,6/27/18,BI SP5s,mature leaf,0.07477
P.biflora,6/27/18,BI SP5s,mature leaf,0.07278
P.biflora,6/27/18,BI SP1w,new leaf,0.10814
P.biflora,6/27/18,BI SP1w,new leaf,0.93706
P.biflora,6/27/18,BI SP1w,new leaf,1.11279
P.menispermifolia,6/27/18,MEN SP3w,mature leaf,2.22066
P.menispermifolia,6/27/18,MEN SP3w,mature leaf,2.29026
P.menispermifolia,6/27/18,MEN SP3w,mature leaf,4.23568
P.ambigua,6/27/18,AMB STR 187n,mature leaf,0.10507
P.ambigua,6/27/18,AMB STR 187n,mature leaf,0.16901
P.ambigua,6/27/18,AMB STR 187n,mature leaf,0.31451
P.ambigua,6/27/18,AMB CEN 170n,mature leaf,0.095
P.ambigua,6/27/18,AMB CEN 170n,mature leaf,0.16037
P.ambigua,6/27/18,AMB CEN 170n,mature leaf,0.05795
P.ambigua,6/27/18,AMB CES 860s,mature leaf,1.12912
P.ambigua,6/27/18,AMB CES 860s,mature leaf,0.47429
P.ambigua,6/27/18,AMB CES 860s,mature leaf,0.25664
P.pittieri,6/27/18,PIT CES 850n,mature leaf,0.30781
P.pittieri,6/27/18,PIT CES 850n,mature leaf,1.40687
P.pittieri,6/27/18,PIT CES 850n,mature leaf,2.14454
P.auriculata,6/27/18,AUR STR 4900n,mature leaf,0.04179
P.auriculata,6/27/18,AUR STR 4900n,mature leaf,0.03195
P.auriculata,6/27/18,AUR STR 4900n,mature leaf,0.02279
P.auriculata,6/27/18,AUR STR 4535n,mature leaf,0.03215
P.auriculata,6/27/18,AUR STR 4535n,mature leaf,0.0741
P.auriculata,6/27/18,AUR STR 4535n,mature leaf,0.06754
P.biflora,6/27/18,BI STR 4414n,new leaf,1.67389
P.biflora,6/27/18,BI STR 4414n,new leaf,1.39633
P.biflora,6/27/18,BI STR 4414n,new leaf,2.22734
P.biflora,6/27/18,BI STR 4414n,mature leaf,0.06669
P.biflora,6/27/18,BI STR 4414n,mature leaf,0.08232
P.biflora,6/27/18,BI STR 4414n,mature leaf,0.07111
P.auriculata,6/27/18,AUR STR 4286s,new leaf,0.06924
P.auriculata,6/27/18,AUR STR 4286s,new leaf,0.1545
P.auriculata,6/27/18,AUR STR 4286s,new leaf,0.21642
P.auriculata,6/27/18,AUR STR 4286s,mature leaf,0.06521
P.auriculata,6/27/18,AUR STR 4286s,mature leaf,0.18066
P.auriculata,6/27/18,AUR STR 4286s,mature leaf,0.1599
P.biflora,6/27/18,BI STR 2825s,mature leaf,0.02723
P.biflora,6/27/18,BI STR 2825s,mature leaf,0.05077
P.biflora,6/27/18,BI STR 2825s,mature leaf,0.04785
P.biflora,6/27/18,BI STR 2734s,new leaf,0.08395
P.biflora,6/27/18,BI STR 2734s,new leaf,1.15194
P.biflora,6/27/18,BI STR 2734s,new leaf,2.93007
P.coriacea,6/27/18,COR STR 1802s,mature leaf,0.02141
P.coriacea,6/27/18,COR STR 1802s,new leaf,1.67475
P.coriacea,6/27/18,COR STR 1802s,mature leaf,1.49022
P.ambigua,6/30/18,AMB STR 1226n,mature leaf,0.52418
P.ambigua,6/30/18,AMB STR 1226n,mature leaf,0.20738
P.ambigua,6/30/18,AMB STR 1226n,mature leaf,0.33469
P.ambigua,6/30/18,AMB STR 1174s,mature leaf,0.3652
P.ambigua,6/30/18,AMB STR 1174s,mature leaf,2.00172
P.ambigua,6/30/18,AMB STR 1174s,mature leaf,1.588
P.arbelaezii,6/30/18,ARB STR 1174s,mature leaf,1.44243
P.arbelaezii,6/30/18,ARB STR 1174s,mature leaf,6.38
P.arbelaezii,6/30/18,ARB STR 1174s,mature leaf,3.99813
P.auriculata,6/30/18,AUR STR 1024s,new leaf,0.04038
P.auriculata,6/30/18,AUR STR 1024s,new leaf,0.05287
P.auriculata,6/30/18,AUR STR 1024s,new leaf,0.0275
P.biflora,7/2/18,BI SAZ 299s,mature leaf,0.04997
P.biflora,7/2/18,BI SAZ 299s,mature leaf,0.0459
P.biflora,7/2/18,BI SAZ 299s,mature leaf,0.03198
P.arbelaezii,7/2/18,ARB SAZ 618n,mature leaf,6.16188
P.arbelaezii,7/2/18,ARB SAZ 618n,mature leaf,8.54679
P.arbelaezii,7/2/18,ARB SAZ 618n,mature leaf,10.04259
P.biflora,7/2/18,BI SAZ 808s,new leaf,1.49022
P.biflora,7/2/18,BI SAZ 808s,new leaf,0.6661
P.biflora,7/2/18,BI SAZ 808s,new leaf,1.64817
P.biflora,7/2/18,BI SAZ 808s,mature leaf,0.50662
P.biflora,7/2/18,BI SAZ 808s,mature leaf,0.31576
P.biflora,7/2/18,BI SAZ 808s,mature leaf,3.41148
P.menispermifolia,7/2/18,MEN SAZ 659n,mature leaf,0.44809
P.menispermifolia,7/2/18,MEN SAZ 659n,mature leaf,5.83867
P.menispermifolia,7/2/18,MEN SAZ 659n,mature leaf,7.29833
P.biflora,7/2/18,BI FLA4-2e,new leaf,1.34125
P.biflora,7/2/18,BI FLA4-2e,new leaf,1.24788
P.biflora,7/2/18,BI FLA4-2e,new leaf,1.08835
P.auriculata,7/2/18,AUR SAZ end,mature leaf,0.03388
P.auriculata,7/2/18,AUR SAZ end,mature leaf,0.033
P.auriculata,7/2/18,AUR SAZ end,mature leaf,0.06944
P.biflora,7/2/18,BI FLA4-1e,mature leaf,0.34863
P.biflora,7/2/18,BI FLA4-1e,mature leaf,0.90878
P.biflora,7/2/18,BI FLA4-1e,mature leaf,0.12054
P.auriculata,7/2/18,AUR CAZ-1s,mature leaf,0.27103
P.auriculata,7/2/18,AUR CAZ-1s,mature leaf,0.31506
P.auriculata,7/2/18,AUR CAZ-1s,mature leaf,0.19473
P.biflora,7/2/18,BI CAZ-2s,new leaf,2.75863
P.biflora,7/2/18,BI CAZ-2s,mature leaf,2.99843
P.biflora,7/2/18,BI CAZ-2s,mature leaf,2.03373
P.arbelaezii,7/2/18,ARB CAZ-1s,mature leaf,2.65445
P.arbelaezii,7/2/18,ARB CAZ-1s,mature leaf,1.93223
P.arbelaezii,7/2/18,ARB CAZ-1s,mature leaf,5.14689
P.coriacea,7/2/18,COR FLA4-2n,mature leaf,0.53077
P.coriacea,7/2/18,COR FLA4-2n,mature leaf,0.85379
P.coriacea,7/2/18,COR FLA4-2n,new leaf,0.80977
P.coriacea,7/2/18,COR FLA4-3s,mature leaf,0.02393
P.coriacea,7/2/18,COR FLA4-3s,mature leaf,0.0319
P.coriacea,7/2/18,COR FLA4-3s,mature leaf,0.03611
P.coriacea,7/2/18,COR FLA4-1n,mature leaf,0.03611
P.coriacea,7/2/18,COR FLA4-1n,mature leaf,0.05629
P.coriacea,7/2/18,COR FLA4-1n,mature leaf,0.058
P.auriculata,7/3/18,AUR SDS-1w,mature leaf,0.17812
P.auriculata,7/3/18,AUR SDS-1w,mature leaf,0.54359
P.auriculata,7/3/18,AUR SDS-1w,mature leaf,0.49589
P.auriculata,7/3/18,AUR SDS-1w,new leaf,0.30176
P.auriculata,7/3/18,AUR SDS-1w,new leaf,0.46743
P.auriculata,7/3/18,AUR SDS-1w,new leaf,0.39646
P.menispermifolia,7/3/18,MEN SDS-1e,mature leaf,4.81436
P.menispermifolia,7/3/18,MEN SDS-1e,mature leaf,4.1103
P.menispermifolia,7/3/18,MEN SDS-1e,mature leaf,3.00628
P.biflora,7/3/18,BI SDS-1e,new leaf,0.7167
P.biflora,7/3/18,BI SDS-1e,new leaf,1.48005
P.biflora,7/3/18,BI SDS-1e,new leaf,2.14837
P.auriculata,7/3/18,AUR SDS-2w,new leaf,0.06924
P.auriculata,7/3/18,AUR SDS-2w,new leaf,0.02954
P.auriculata,7/3/18,AUR SDS-2w,new leaf,0.07142
P.biflora,7/3/18,BI SDS-2s,new leaf,0.5584
P.biflora,7/3/18,BI SDS-2s,new leaf,0.77912
P.biflora,7/3/18,BI SDS-2s,new leaf,0.91288
P.arbelaezii,7/3/18,ARB SDS-1s,mature leaf,0.40295
P.arbelaezii,7/3/18,ARB SDS-1s,mature leaf,0.10021
P.arbelaezii,7/3/18,ARB SDS-1s,mature leaf,0.97219
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,3.72
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,2.97472
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,3.75389
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.04557
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.02726
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.02967
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,1.72294
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,2.22209
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,1.74108
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.05926
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.10875
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.08395
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.03323
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.02583
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.02331
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,3.72
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,2.97472
P.menispermifolia,7/3/18,MEN OET Gate-1s,mature leaf,3.75389
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.04546
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.02726
P.auriculata,7/3/18,AUR OET Gate-1s,mature leaf,0.02967
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,1.72294
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,2.22209
P.menispermifolia,7/3/18,MEN OET Gate-1n,mature leaf,16.65955
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.05926
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.10875
P.biflora,7/3/18,BI OET Gate-1n,new leaf,0.08395
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.03323
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.02583
P.auriculata,7/3/18,AUR OET Gate-1n,mature leaf,0.02331
P.biflora,7/6/18,BI SAZ 299s,mature leaf,0.05438
P.biflora,7/6/18,BI SAZ 299s,mature leaf,0.04749
P.biflora,7/6/18,BI SAZ 299s,mature leaf,0.04451
P.biflora,7/6/18,BI SAZ 515n,new leaf,7.37285
P.biflora,7/6/18,BI SAZ 515n,new leaf,7.76166
P.biflora,7/6/18,BI SAZ 515n,new leaf,6.97289
P.auriculata,7/6/18,AUR SAZ 637n,mature leaf,0.04785
P.auriculata,7/6/18,AUR SAZ 637n,mature leaf,0.0434
P.auriculata,7/6/18,AUR SAZ 637n,mature leaf,0.04081
P.biflora,7/6/18,BI SAZ 659n,new leaf,0.94571
P.biflora,7/6/18,BI SAZ 659n,new leaf,0.50078
P.biflora,7/6/18,BI SAZ 659n,new leaf,0.92899
P.biflora,7/6/18,BI SAZ 936n,new leaf,2.06412
P.biflora,7/6/18,BI SAZ 936n,new leaf,8.62162
P.biflora,7/6/18,BI SAZ 936n,new leaf,1.18636
P.auriculata,7/6/18,AUR SAZ 916n,mature leaf,0.05818
P.auriculata,7/6/18,AUR SAZ 916n,mature leaf,0.04441
P.auriculata,7/6/18,AUR SAZ 916n,mature leaf,0.03148
P.biflora,7/6/18,BI CAB IGUANA,new leaf,1.9488
P.biflora,7/6/18,BI CAB IGUANA,new leaf,2.19715
P.biflora,7/6/18,BI CAB IGUANA,mature leaf,0.53895
P.auriculata,7/6/18,AUR boat ramp ,mature leaf,0.02402
P.auriculata,7/6/18,AUR boat ramp ,mature leaf,0.0178
P.auriculata,7/6/18,AUR boat ramp ,mature leaf,0.02535
P.biflora,7/6/18,BI boat ramp ,new leaf,0.8572
P.biflora,7/6/18,BI boat ramp ,new leaf,0.63868
P.biflora,7/6/18,BI boat ramp ,new leaf,0.66708
P.biflora,7/6/18,BI bridge ,mature leaf,0.03914
P.biflora,7/6/18,BI bridge ,mature leaf,0.03988
P.biflora,7/6/18,BI bridge ,mature leaf,0.01197
P.pittieri,7/9/18,PIT SURA 916w,mature leaf,1.8476
P.pittieri,7/9/18,PIT SURA 916w,mature leaf,1.99375
P.pittieri,7/9/18,PIT SURA 916w,mature leaf,2.84218
P.costaricensis,7/9/18,COS SP1n,mature leaf,4.99834
P.costaricensis,7/9/18,COS SP1n,mature leaf,6.73728
P.costaricensis,7/9/18,COS SP1n,mature leaf,4.421
P.costaricensis,7/9/18,COS SP1w,mature leaf,5.03503
P.costaricensis,7/9/18,COS SP1w,mature leaf,7.40615
P.costaricensis,7/9/18,COS SP1w,mature leaf,6.67333
P.pittieri,7/9/18,PIT CES 850n,mature leaf,2.02139
P.pittieri,7/9/18,PIT CES 850n,mature leaf,1.21035
P.pittieri,7/9/18,PIT CES 850n,mature leaf,1.97367
P.pittieri,7/9/18,PIT CES 850n,new leaf,1.97574
P.pittieri,7/9/18,PIT CES 850n,new leaf,3.20013
P.pittieri,7/9/18,PIT CES 850n,new leaf,2.42278
P.biflora,7/9/18,BI lab powerline,new leaf,1.30436
P.biflora,7/9/18,BI lab powerline,new leaf,0.8611
P.biflora,7/9/18,BI lab powerline,new leaf,0.76643
P.arbelaezii,7/9/18,ARB CEN 534e,mature leaf,7.06357
P.arbelaezii,7/9/18,ARB CEN 534e,mature leaf,7.79778
P.arbelaezii,7/9/18,ARB CEN 534e,mature leaf,6.93478
P.pittieri,7/9/18,PIT CEN 535e,mature leaf,2.92417
P.pittieri,7/9/18,PIT CEN 535e,mature leaf,2.02215
P.pittieri,7/9/18,PIT CEN 535e,mature leaf,2.51577
P.ambigua,7/9/18,AMB STR 1181s,mature leaf,1.4792
P.ambigua,7/9/18,AMB STR 1181s,mature leaf,1.23208
P.ambigua,7/9/18,AMB STR 1181s,mature leaf,0.87569
P.menispermifolia,7/11/18,MEN STR 1398s,new leaf,6.10261
P.menispermifolia,7/11/18,MEN STR 1398s,new leaf,5.69864
P.menispermifolia,7/11/18,MEN STR 1398s,new leaf,4.20948
P.ambigua,7/11/18,AMB STR 1399s,new leaf,0.81016
P.ambigua,7/11/18,AMB STR 1399s,new leaf,0.07419
P.ambigua,7/11/18,AMB STR 1399s,new leaf,0.17185
P.biflora,7/11/18,BI CAB Iguana,new leaf,1.82923
P.biflora,7/11/18,BI CAB Iguana,new leaf,1.95187
P.biflora,7/11/18,BI CAB Iguana,mature leaf,1.50639
P.pittieri,7/11/18,PIT SOR 203n,old leaf,0.08529
P.pittieri,7/11/18,PIT SOR 203n,old leaf,0.23496
P.pittieri,7/11/18,PIT SOR 203n,old leaf,0.06359
P.arbelaezii,7/11/18,ARB Ceiba ,mature leaf,2.79573
P.arbelaezii,7/11/18,ARB Ceiba ,mature leaf,5.13031
P.arbelaezii,7/11/18,ARB Ceiba ,mature leaf,3.02328
P.arbelaezii,7/11/18,ARB CAB EUF,mature leaf,1.31096
P.arbelaezii,7/11/18,ARB CAB EUF,mature leaf,1.2063
P.arbelaezii,7/11/18,ARB CAB EUF,mature leaf,0.1944
P.biflora,7/11/18,BI inner powerline-1,mature leaf,0.05024
P.biflora,7/11/18,BI inner powerline-1,mature leaf,0.02351
P.biflora,7/11/18,BI inner powerline-1,mature leaf,0.02719
P.biflora,7/11/18,BI inner powerline-2,new leaf,0.07656
P.biflora,7/11/18,BI inner powerline-2,new leaf,2.88669
P.biflora,7/11/18,BI inner powerline-2,new leaf,3.16769
P.menispermifolia,7/11/18,MEN outer powerline-1,new leaf,7.10754
P.menispermifolia,7/11/18,MEN outer powerline-1,new leaf,6.68381
P.menispermifolia,7/11/18,MEN outer powerline-1,new leaf,5.9271
P.auriculata,7/11/18,AUR outer powerline-1,new leaf,0.22465
P.auriculata,7/11/18,AUR outer powerline-1,new leaf,0.23678
P.auriculata,7/11/18,AUR outer powerline-1,new leaf,0.44733
P.coriacea,7/11/18,COR STR 1082s,new leaf,0.04546
P.coriacea,7/11/18,COR STR 1082s,new leaf,0.06019
P.coriacea,7/11/18,COR STR 1082s,new leaf,0.05818
P.auriculata,7/12/18,AUR SJ 316s,new leaf,0.06669
P.auriculata,7/12/18,AUR SJ 316s,new leaf,0.03738
P.auriculata,7/12/18,AUR SJ 316s,new leaf,0.03632
P.arbelaezii,7/12/18,ARB SJ 251n,new leaf,16.56085
P.arbelaezii,7/12/18,ARB SJ 251n,new leaf,15.05393
P.arbelaezii,7/12/18,ARB SJ 251n,new leaf,33.02081
P.ambigua,7/12/18,AMB SJ 227n,new leaf,1.595
P.ambigua,7/12/18,AMB SJ 227n,new leaf,1.74381
P.ambigua,7/12/18,AMB SJ 227n,new leaf,1.88439
P.arbelaezii,7/16/18,ARB SHO 842s,mature leaf,8.20286
P.arbelaezii,7/16/18,ARB SHO 842s,mature leaf,9.09581
P.arbelaezii,7/16/18,ARB SHO 842s,mature leaf,8.80133
P.auriculata,7/16/18,AUR SSE 389s,new leaf,0.08286
P.auriculata,7/16/18,AUR SSE 389s,new leaf,0.07281
P.auriculata,7/16/18,AUR SSE 389s,new leaf,0.07844
P.biflora,7/19/18,BI AM-1s,new leaf,0.05944
P.biflora,7/19/18,BI AM-1s,new leaf,0.06787
P.biflora,7/19/18,BI AM-1s,new leaf,0.1153
P.arbelaezii,7/19/18,ARB AM-2n,mature leaf,1.73437
P.arbelaezii,7/19/18,ARB AM-2n,mature leaf,4.57434
P.arbelaezii,7/19/18,ARB AM-2n,mature leaf,9.4313
P.arbelaezii,7/19/18,ARB AM-1n,mature leaf,7.018
P.arbelaezii,7/19/18,ARB AM-1n,mature leaf,7.57966
P.arbelaezii,7/19/18,ARB AM-1n,mature leaf,7.39628
P.arbelaezii,7/19/18,ARB AM-3n,mature leaf,5.88156
P.arbelaezii,7/19/18,ARB AM-3n,mature leaf,8.26128
P.arbelaezii,7/19/18,ARB AM-3n,mature leaf,8.26262
P.arbelaezii,7/19/18,ARB AM-4e,mature leaf,5.742
P.arbelaezii,7/19/18,ARB AM-4e,mature leaf,8.7
P.arbelaezii,7/19/18,ARB AM-4e,mature leaf,6.41255
P.menispermifolia,7/19/18,MEN AM-1s,new leaf,1.69768
P.menispermifolia,7/19/18,MEN AM-1s,new leaf,3.12261
P.menispermifolia,7/19/18,MEN AM-1s,new leaf,3.31176
P.auriculata,7/19/18,AUR AM-1s,new leaf,0.03272
P.auriculata,7/19/18,AUR AM-1s,new leaf,0.03028
P.auriculata,7/19/18,AUR AM-1s,new leaf,0.03564
P.auriculata,7/19/18,AUR AM-2n,new leaf,0.023
P.auriculata,7/19/18,AUR AM-2n,new leaf,0.03112
P.auriculata,7/19/18,AUR AM-2n,new leaf,0.02922
P.biflora,7/19/18,BI AM-2n,new leaf,1.73753
P.biflora,7/19/18,BI AM-2n,new leaf,1.58674
P.biflora,7/19/18,BI AM-2n,new leaf,1.68497
P.ambigua,7/19/18,AMB AM-1w,new leaf,1.05265
P.ambigua,7/19/18,AMB AM-1w,new leaf,2.05442
P.ambigua,7/19/18,AMB AM-1w,new leaf,1.35205
P.biflora,7/19/18,BI AM-3e,new leaf,0.5636
P.biflora,7/19/18,BI AM-3e,new leaf,1.57531
P.biflora,7/19/18,BI AM-3e,new leaf,20.66761
P.auriculata,7/19/18,AUR GUA-1e,new leaf,0.04738
P.auriculata,7/19/18,AUR GUA-1e,new leaf,0.0845
P.auriculata,7/19/18,AUR GUA-1e,new leaf,0.08025
P.auriculata,7/21/18,AUR STR 5488w,new leaf,0.02509
P.auriculata,7/21/18,AUR STR 5488w,new leaf,0.0348
P.auriculata,7/21/18,AUR STR 5488w,new leaf,0.03786
P.auriculata,7/21/18,AUR STR 5490e,mature leaf,0.01357
P.auriculata,7/21/18,AUR STR 5490e,mature leaf,0.01532
P.auriculata,7/21/18,AUR STR 5490e,mature leaf,0.01508
P.auriculata,7/21/18,AUR STR 5490e,old leaf,0.01235
P.auriculata,7/21/18,AUR STR 5490e,old leaf,0.07677
P.auriculata,7/21/18,AUR STR 5490e,old leaf,0.06869
P.auriculata,7/21/18,AUR STR 4852s,new leaf,0.01749
P.auriculata,7/21/18,AUR STR 4852s,new leaf,0.02074
P.auriculata,7/21/18,AUR STR 4852s,new leaf,0.02601
P.auriculata,7/21/18,AUR STR 4852s,old leaf,0.07198
P.auriculata,7/21/18,AUR STR 4852s,old leaf,0.06541
P.auriculata,7/21/18,AUR STR 4852s,old leaf,0.08401
P.auriculata,7/21/18,AUR STR 4756n,new leaf,0.33425
P.auriculata,7/21/18,AUR STR 4756n,new leaf,0.24985
P.auriculata,7/21/18,AUR STR 4756n,new leaf,0.30747
P.ambigua,7/23/18,AMB lab clearing-2,mature leaf,0.38777
P.ambigua,7/23/18,AMB lab clearing-2,mature leaf,0.3837
P.ambigua,7/23/18,AMB lab clearing-2,mature leaf,0.68247
P.biflora,7/23/18,BI parqueo,mature leaf,0.04291
P.biflora,7/23/18,BI parqueo,mature leaf,0.0468
P.biflora,7/23/18,BI parqueo,mature leaf,0.03266
P.coriacea,7/23/18,COR STR 1082s,mature leaf,0.01955
P.coriacea,7/23/18,COR STR 1082s,new leaf,0.01258
P.coriacea,7/23/18,COR STR 1082s,new leaf,0.01388
P.biflora,6/24/19,BI SAZ 299s,mature leaf,0.86022
P.biflora,6/24/19,BI SAZ 299s,mature leaf,0.78571
P.biflora,6/24/19,BI SAZ 808s,mature leaf,0.435
P.biflora,6/24/19,BI SAZ 808s,mature leaf,0.65436
P.menispermifolia,6/24/19,MEN SAZ 659N,new leaf,1.57315
P.menispermifolia,6/24/19,MEN SAZ 659N,new leaf,3.1122
P.auriculata,6/24/19,AUR SDS-1W,new leaf,0.07115
P.auriculata,6/24/19,AUR SDS-1W,new leaf,0.05853
P.biflora,6/24/19,BI SDS-1E,new leaf,2.2145
P.biflora,6/24/19,BI SDS-1E,new leaf,2.3668
P.auriculata,6/24/19,AUR CAZ-1s,new leaf,0.06338
P.auriculata,6/24/19,AUR CAZ-1s,new leaf,0.05596
P.biflora,6/24/19,BI CAZ-2S,new leaf,1.5297
P.biflora,6/24/19,BI CAZ-2S,new leaf,1.761
P.arbelaezii,6/24/19,ARB CAZ-1S,new leaf,0.9413
P.arbelaezii,6/24/19,ARB CAZ-1S,new leaf,0.696
P.coriacea,6/24/19,COR FLA4-1N,mature leaf,0.14953
P.coriacea,6/24/19,COR FLA4-1N,mature leaf,0.13574
P.coriacea,6/24/19,COR FLA4-3S,mature leaf,0.12592
P.coriacea,6/24/19,COR FLA4-3S,mature leaf,0.12191
P.coriacea,6/24/19,COR FLA4-2N,mature leaf,0.08395
P.coriacea,6/24/19,COR FLA4-2N,mature leaf,0.08861
P.auriculata,6/25/19,AUR OET Gate-1n,mature leaf,0.174
P.auriculata,6/25/19,AUR OET Gate-1n,mature leaf,0.12269
P.costaricensis,6/25/19,COS SP1N,mature leaf,6.5842
P.costaricensis,6/25/19,COS SP1N,mature leaf,4.441
P.costaricensis,6/25/19,COS SP3N,mature leaf,0.9114
P.costaricensis,6/25/19,COS SP3N,mature leaf,0.7975
P.costaricensis,6/25/19,COS SP1W,new leaf,1.3353
P.costaricensis,6/25/19,COS SP1W,new leaf,0.8902
P.menispermifolia,6/25/19,MEN SP5E,new leaf,1.8673
P.menispermifolia,6/25/19,MEN SP5E,new leaf,1.4932
P.pittieri,6/25/19,PIT lab clearing,mature leaf,2.3708
P.pittieri,6/25/19,PIT lab clearing,mature leaf,1.9105
P.ambigua,6/25/19,AMB garden,new leaf,0.11325
P.ambigua,6/25/19,AMB garden,new leaf,0.08179
P.pittieri,6/25/19,PIT SURA 916w,mature leaf,0.7457
P.pittieri,6/25/19,PIT SURA 916w,mature leaf,0.8545
P.menispermifolia,6/25/19,MEN garden ,new leaf,3.0513
P.menispermifolia,6/25/19,MEN garden ,new leaf,2.3377
P.pittieri,6/25/19,PIT garden,mature leaf,3.4727
P.pittieri,6/25/19,PIT garden,mature leaf,4.8829
P.arbelaezii,6/25/19,ARB garden,new leaf,1.5561
P.arbelaezii,6/25/19,ARB garden,new leaf,0.9234
P.arbelaezii,6/25/19,ARB lab clearing ,new leaf,1.4866
P.arbelaezii,6/25/19,ARB lab clearing ,new leaf,1.8468
P.auriculata,6/26/19,AUR garden ,mature leaf,0.2578
P.auriculata,6/26/19,AUR garden ,mature leaf,0.5889
P.auriculata,6/26/19,AUR STR 4286S,new leaf,0.116
P.auriculata,6/26/19,AUR STR 4286S,new leaf,0.10021
P.menispermifolia,6/27/19,MEN OETgate-1S,new leaf,2.3143
P.menispermifolia,6/27/19,MEN OETgate-1S,new leaf,3.166
P.pittieri,6/27/19,PIT CES 850n,mature leaf,4.9171
P.pittieri,6/27/19,PIT CES 850n,mature leaf,3.5917
P.ambigua,6/27/19,AMB lab clearing-1,mature leaf,1.2131
P.ambigua,6/27/19,AMB lab clearing-1,mature leaf,1.1154
P.ambigua,6/27/19,AMB STR 1399s,mature leaf,1.0693
P.ambigua,6/27/19,AMB STR 1399s,mature leaf,0.5771
P.ambigua,6/27/19,AMB SOR 170N,mature leaf,1.0951
P.ambigua,6/27/19,AMB SOR 170N,mature leaf,1.2279
